排名,代號,名稱,市場,產業,行動,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,RSI14,距20EMA%,5日報酬%,淘汰原因
1,2027,大成鋼,TWSE,鋼鐵工業,等回測或確認,79.7,100,41.3,41,43.73,30.28,18.07,41.61,366.04,1.17,12.08,1.23,3.63,8,2082,3732,4404,35704,37590,2686,11852,10818,14443,20.52,10322,7324,-20710,-38508,10486,7417,-20320,52.71,1.36,0.98,20日趨勢尚未上彎；ETF加碼金額或跨基金共識不足
2,2357,華碩,TWSE,電腦及週邊設備業,等回測或確認,78.5,100,712,715,55.63,38.85,5.71,52.83,148.3,13.19,12.72,1.84,5.9,43,207,321,667,-273,-996,89,1128,11192,14413,35.22,929,11565,18555,6897,1300,10686,16987,48.29,-0.29,7.39,20日趨勢尚未上彎
3,1590,亞德客-KY,TWSE,電機機械,等回測或確認,76.4,100,1365,1350,44.88,30.08,33.2,17.79,280.31,13.35,29.88,5.37,2.13,16,-5,19,44,43,376,48,133,394,1093,80.86,197,446,1224,1431,133,355,1041,51.63,1.06,-1.09,當下除權息調整價未守20日EMA
4,2376,技嘉,TWSE,電腦及週邊設備業,等回測或確認,75.4,100,344,337,68.55,48.36,7.06,72.95,137.4,7.86,16.07,3.57,3.49,30,120,297,490,6013,12740,172,460,1908,-1032,21.2,216,1442,-7579,-17945,228,1452,-6919,54.09,1.9,5.2,20日趨勢尚未上彎；當下除權息調整價未守20日EMA
5,9958,世紀鋼,TWSE,鋼鐵工業,等回測或確認,75.1,100,119,118.5,64.09,29.18,28.83,49.86,123.34,2.63,15.18,2.56,3.78,4,-2,10,26,220,221,28,233,-187,320,9.64,-108,-424,-325,-1889,40,-350,-24,57.36,2.47,1.28,外資持股5/10日下降，且外資5日賣超；ETF加碼金額或跨基金共識不足
6,2615,萬海,TWSE,航運業,等回測或確認,74.9,100,81.7,80.7,32.7,6.39,17.32,31.69,396.45,2.73,7.54,0.8,3.67,12,-37,-17,-7,802,833,0,5170,13875,19643,43.2,5267,19000,20696,7075,5104,13746,18612,54.39,2.12,6.1,20日累積後5日轉為調節；ETF 1/3日已轉為減碼；20日趨勢尚未上彎
7,3702,大聯大,TWSE,電子通路業,等回測或確認,74.4,100,116.5,113.5,131.85,55.18,2.68,80.68,123.6,3.3,14.22,2.17,3.26,29,565,1214,1815,42670,52416,656,-6355,-7962,-13547,35.63,-6227,-8939,-53341,-64611,-6213,-8678,-53457,58.39,4.94,6.88,三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超
8,6214,精誠,TWSE,資訊服務業,等回測或確認,73.6,100,141,140,76.9,37,4.94,47.39,168.59,2.64,14.78,2.02,4.26,7,-3,-3,-7,260,272,0,-37,2921,3877,13.48,-19,2167,3017,72,-31,2695,3385,56.51,2.98,6.02,20日累積後5日轉為調節；ETF 1/3日已轉為減碼；20日趨勢尚未上彎
9,2618,長榮航,TWSE,航運業,等回測或確認,73.3,100,42.15,41.9,26.58,16.36,18.64,63.19,112.11,1.53,8,1.68,4.74,30,-1091,-5676,-5894,28656,39807,-1777,20780,194571,208321,26.4,20498,215103,194380,313535,24137,223296,199409,55.59,1.58,-0.59,20日累積後5日轉為調節；ETF 1/3日已轉為減碼
10,2637,慧洋-KY,TWSE,航運業,列入觀察,72.9,100,83.9,82.5,57.92,32.32,27.6,40.19,109.87,1.6,11.8,1.24,4.17,7,-14,9,11,-1436,-1622,0,367,9289,13706,24.71,261,7402,13409,14895,278,7258,12802,66.31,6.72,6.2,
11,9945,潤泰新,TWSE,其他,等回測或確認,72.9,100,26.4,26.85,29.57,40.43,17.71,41.18,181.95,0.99,7.42,0.66,4.17,5,0,0,0,-449,3518,0,2492,5392,-10308,6.75,1410,5302,-14746,-26437,2378,5280,-10002,54.79,1.23,2.52,20日趨勢尚未上彎
12,2395,研華,TWSE,電腦及週邊設備業,等回測或確認,71.9,100,533,530,73.39,32.18,18.29,40.64,165.38,3.85,41.35,9.33,2.09,26,7,195,212,513,1089,144,69,1182,3060,35.72,25,797,2218,3353,47,787,2453,59.88,4.71,7.35,2日內除權息，等待價格重置
13,6177,達麗,TWSE,建材營造,等回測或確認,71.4,100,46.9,48,1322.16,667.77,43.14,72.12,139.8,3.53,6.28,1.74,6.4,2,0,0,-15,1891,1891,0,473,1532,1759,6.64,-49,775,-684,-2399,467,1332,-328,56.64,2.23,3.42,20日累積後5日轉為調節；20日趨勢尚未上彎
14,3005,神基,TWSE,電腦及週邊設備業,列入觀察,70.9,100,115.5,113.5,28.59,7.54,13.51,48.07,174.1,1.74,14.17,3.08,5.88,15,205,397,641,-4377,-9209,47,-71,4398,11298,13.34,-346,4658,14629,11958,-27,3734,15347,66.63,7.59,7.94,
15,2006,東和鋼鐵,TWSE,鋼鐵工業,等回測或確認,70.7,100,71.8,72.4,9.01,-1.3,10.22,37.35,152.88,1.66,10.83,1.62,5.99,11,368,779,1267,1868,-28634,71,1587,4860,4392,24.25,1134,3547,2581,37737,1186,3586,2490,65.97,3.59,4.21,累計營收負成長且當月改善不足
16,3706,神達,TWSE,電腦及週邊設備業,等回測或確認,70.6,100,90.9,89.9,80.93,44.8,3.72,50.24,171.44,1.1,17.35,1.82,4.4,14,-32,-28,-28,28540,41227,0,964,-4558,3558,7.65,-29,-4204,-16752,-41985,77,-5514,-24658,55.46,2.34,3.3,20日累積後5日轉為調節；ETF 1/3日已轉為減碼；外資持股5/10日下降，且外資5日賣超
17,3413,京鼎,TWSE,半導體業,等回測或確認,70.1,100,348,382,39.75,17.7,13.07,42.48,150.31,4.28,18.48,2.42,3.16,3,0,0,0,0,10,0,541,145,4443,27.09,230,-360,2375,6282,409,78,2856,62.13,5.89,1.16,短線過熱或乖離過大
18,2408,南亞科,TWSE,半導體業,等回測或確認,69.9,100,481,439,621.34,643.12,61.34,19.89,561.77,8.41,43.06,7.73,0.28,32,1760,3252,4204,5419,74666,2111,12765,5529,-12261,13.51,8732,-382,-4806,-25917,4850,-11512,-13359,62.74,13.36,19.35,外資持股5/10日下降，且外資5日賣超；高波動且5日漲幅過大；強勢上漲後盤中急跌反轉
19,2105,正新,TWSE,橡膠工業,等回測或確認,69.8,100,32.85,33.55,15.01,4.92,9.93,41.86,262.14,0.57,20.28,1.25,5.48,14,1130,1594,2576,5262,5175,158,3376,15288,61156,8.52,3417,12690,46834,57835,3534,13405,56427,57.57,2.83,1.23,20日趨勢尚未上彎
20,2404,漢唐,TWSE,其他電子業,等回測或確認,69.8,100,1285,1250,50.9,76.24,19.57,82.86,114.62,16.31,23.88,16.87,3.11,23,-20,165,113,-1049,-2028,104,835,496,1191,37.6,858,1665,3128,135,929,1667,3207,52.93,1.92,1.98,20日趨勢尚未上彎；2日內除權息，等待價格重置
21,2382,廣達,TWSE,電腦及週邊設備業,等回測或確認,69.5,100,381,352,102.87,86.48,2.85,87.45,117.06,5.5,19.16,7.08,4.09,50,3230,9002,11945,24589,46387,228,-2778,-7307,-2760,19.26,-4520,-23513,-33388,-42253,-4618,-18246,-26395,58.54,2.21,2.14,三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA；2日內除權息，等待價格重置
22,6505,台塑化,TWSE,油電燃氣業,等回測或確認,69.4,100,72.8,80,18.46,8.2,15.13,17.92,451.26,2.14,26.09,1.85,1.65,8,2039,3005,3059,2808,2071,2880,14609,41067,48404,6.78,12321,36434,44599,57064,12343,36321,44224,79.09,23.38,25.52,短線過熱或乖離過大；ETF加碼金額或跨基金共識不足
23,2330,台積電,TWSE,半導體業,等回測或確認,69.2,100,2440,2470,67.87,35.61,58.1,31.5,248.83,22.08,32.8,10.74,0.9,66,1092,4449,6315,12232,18105,401,-3568,-28037,-37712,69.52,-3642,-35642,-58498,-122508,-3427,-34792,-52341,54.84,0.99,0,三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超
24,2610,華航,TWSE,航運業,等回測或確認,69.2,100,21.2,20.9,28.82,16.09,11.29,70.94,74.06,0.85,8.28,1.26,3.82,13,141,972,1207,45692,72991,0,6677,9109,-20324,15.15,25372,40007,-30190,136634,21951,39058,-32979,48.07,-2.05,-3.64,當下除權息調整價未守20日EMA；ETF加碼金額或跨基金共識不足
25,3022,威強電,TWSE,電腦及週邊設備業,等回測或確認,69.2,100,87.3,84.8,79.97,18.78,2.29,27.05,323.07,0.96,24.73,1.34,4.01,2,0,0,0,21,38,0,195,1785,2288,18.97,193,1742,2426,1189,200,1761,2189,56.67,2.15,-0.34,當下除權息調整價未守20日EMA
26,2845,遠東銀,TWSE,金融保險業,等回測或確認,68.7,100,13.45,13.55,20.15,17.21,,92.01,,0.25,15.28,0.92,4.68,7,-49,-48,2049,7707,94910,0,7861,17231,33890,9.12,3341,11325,22409,-29944,7887,14865,25930,65.39,2.72,1.89,ETF 1/3日已轉為減碼；ETF加碼金額或跨基金共識不足
27,2344,華邦電,TWSE,半導體業,等回測或確認,68.6,100,180.5,172,189.88,139.2,32.81,46.52,147.43,2.25,53.56,6.96,0.28,34,1348,4237,5271,2941,189542,335,15628,-11796,-93798,18.63,15847,3462,-5195,-254701,14946,-1099,-11706,51.42,0.01,3.74,三大法人5/10日同步賣超；當下除權息調整價未守20日EMA
28,5388,中磊,TWSE,通信網路業,列入觀察,68.5,100,89.4,86.6,70.83,58.09,2.94,69.5,131.55,1.01,22.35,1.71,2.8,2,0,0,0,-1199,-2286,0,5460,9540,11387,22.13,4922,8054,10244,8312,5043,8650,11137,64.15,6.95,7.19,
