排名,代號,名稱,市場,產業,行動,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,距20EMA%,5日報酬%,淘汰原因
1,2027,大成鋼,TWSE,鋼鐵工業,等回測或確認,79.8,100,41,40.88,43.73,30.28,18.07,41.61,366.04,1.17,11.99,1.22,3.66,8,-255,1950,3603,7433,35367,2686,-601,12933,9785,8574,-344,2296,4915,31423,2,3,94136000,795,164,20.53,294,10246,4770,-24905,-200,9845,4710,-23102,51.11,0.57,1.11,20日趨勢尚未上彎；ETF加碼金額或跨基金共識不足
2,2357,華碩,TWSE,電腦及週邊設備業,等回測或確認,75.8,100,715,711.5,55.63,38.85,5.71,52.83,148.3,13.19,12.78,1.85,5.87,43,-70,294,388,-744,-1409,72,226,8197,13897,3920,-120,-291,-2017,-3798,2,3,-208065000,582,28,35.27,373,6315,19237,7838,310,7906,15886,8703,49.05,0.12,4.08,投信5/10日持續且具金額意義的賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
3,2637,慧洋-KY,TWSE,航運業,列入觀察,75.5,100,82.5,80.75,57.92,32.32,27.6,40.19,109.87,1.6,11.6,1.22,4.24,7,24,21,25,-618,-1630,0,22,7476,14418,15003,23,1802,1479,655,5,0,148665000,154,241,24.71,42,5658,13298,14668,41,5518,12696,14398,61.81,4.46,3.13,
4,9958,世紀鋼,TWSE,鋼鐵工業,等回測或確認,74.4,100,118.5,115.25,64.09,29.18,28.83,49.86,123.34,2.63,15.11,2.55,3.8,4,1,9,18,114,222,19,20,-238,2,-850,0,16,113,220,3,1,1896000,121,116,9.67,75,-434,-325,-1896,21,-376,-229,-1616,56.12,1.84,0,外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA；ETF加碼金額或跨基金共識不足
5,3706,神達,TWSE,電腦及週邊設備業,等回測或確認,74.1,100,89.9,87.3,80.93,44.8,3.72,50.24,171.44,1.1,17.16,1.8,4.45,14,-6,-34,-34,22512,41221,76,-517,-3839,-8764,-3814,-9,247,22796,41500,1,3,22205300,554,-1242,7.66,58,-2370,-22013,-36088,-386,-4640,-30319,-44193,53.09,1.1,1.93,20日累積後5日轉為調節；ETF 1/3日已轉為減碼；外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
6,2441,超豐,TWSE,半導體業,等回測或確認,73.8,100,139,127.75,33.15,21.76,19.56,13.88,325.2,1.4,29.76,3.13,2.16,7,122,464,839,2097,-11624,102,857,1003,4296,6762,122,839,2097,-11624,4,1,116621000,-15,147,11.98,346,606,1314,15446,489,180,2053,17344,54.24,2.48,0.72,當下除權息調整價未守20日EMA；ETF加碼金額或跨基金共識不足
7,9945,潤泰新,TWSE,其他,等回測或確認,73.7,100,26.85,26.73,29.57,40.43,17.71,41.18,181.95,0.99,7.54,0.67,4.1,5,0,0,0,-374,3518,0,1797,8641,-5504,-11928,0,0,-374,3518,0,0,0,182,190,6.82,2110,9334,-11876,-23308,1834,8461,-5318,-15611,58.82,2.67,5.29,20日趨勢尚未上彎
8,2330,台積電,TWSE,半導體業,等回測或確認,72.9,100,2470,2367.5,67.87,35.61,58.1,31.5,248.83,22.08,33.21,10.87,0.89,66,1261,4296,6530,12821,18789,285,-2625,-27705,-52093,-88762,528,2346,5842,5363,4,1,5794620000,4800,6020,69.51,-4220,-35512,-68448,-125184,-4215,-34852,-63956,-106455,57.71,2.01,0.2,外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
9,2615,萬海,TWSE,航運業,等回測或確認,72.7,100,80.7,80.25,32.7,6.39,17.32,31.69,396.45,2.73,7.45,0.79,3.72,12,6,-25,-37,680,407,-1,-280,10136,19755,9538,0,-53,669,390,1,3,-4277100,19,267,43.2,-52,9756,20220,9362,-262,10171,18821,8745,51.78,0.79,1.64,20日累積後5日轉為調節；主動ETF 5日轉為減碼；20日趨勢尚未上彎
10,2395,研華,TWSE,電腦及週邊設備業,等回測或確認,72.3,100,530,509.5,73.39,32.18,18.29,40.64,165.38,3.85,41.12,9.28,2.11,27,272,403,476,853,1601,395,27,1050,2498,4534,255,372,586,1079,3,2,197160000,156,299,35.69,-286,522,1227,2879,-211,522,1615,3179,58.86,3.71,-2.93,2日內除權息，等待價格重置
