排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,今天動作,下一次確認,既有部位說明,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,2376,技嘉,TWSE,電腦及週邊設備業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 336.38 且ETF、外資與投信未轉弱時，才考慮下一批。,81.6,77.5,54,85,91,可用,344,344,68.55,48.36,7.06,72.95,137.4,7.86,15.97,3.55,3.51,32,19,-261,494,2462,5294,211,4963.781,11756.322999999999,9060.138,8948.481000000002,31.85,308.57,635.442,2330.6040000000003,3,2,105530940,-2463.997,-2382.39,22.15,7572,11387,6297,,4976.009,13911.749999999998,10807.085999999998,7371.005999999998,53.8,56.63,48.71,72.47,true,false,2.26,8.01,
2,2605,新興,TWSE,航運業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 31.55 且法人籌碼轉弱，先減碼三分之一。,74.4,82.7,79.5,85,71,可用,32,32,51.62,32.98,35.32,22.98,186.53,0.66,15.31,1.06,3.13,1,0,0,2,6,187,0,2271.153,2807.4829999999993,6098.201,14355.22,0,16,38,211,3,0,512000,-364.697,-1405.87,49.67,2199,6870,9054,,2199,3156.1800000000003,7466.070999999999,15247.86,55.99,58.22,46.87,80.91,true,false,2.56,6.84,ETF加碼金額或跨基金共識不足
3,2408,南亞科,TWSE,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 384.78 且法人籌碼轉弱，先減碼三分之一。,77.3,81.9,82.5,85,100,完整,459,459,621.34,643.12,69.08,16.78,691.01,23.38,17.27,4.76,0.3,36,835,1878,3498,3785,12908,2222,8149.133,46021.436,16110.718000000004,-7104.773999999994,3916.935,6437.825,345.32199999999966,15811.906,3,1,2864832125,-2210.255,-3334.696,13.7,7793,32260,25116,,7255.434,41793.866,19100.092,-25115.659,57.22,71.75,52.91,109.42,false,false,11.38,39.94,短線過熱或乖離過大；高波動且5日漲幅過大；融資增幅與短線漲幅同步偏高；官方重大訊息出現高風險關鍵字，須查原文
4,2451,創見,TWSE,半導體業,等待確認,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 274.08，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,63.7,81.6,87.9,85,100,完整,293,293,381.55,422.17,73.7,28.68,309.01,46.63,4.91,3.17,4.17,18,-18,-164,1,-469,-1404,-9,-1333.144,-753.6809999999998,-7008.783,-10578.679,-18.9,9.823999999999984,-452.17600000000004,-1335.176,1,4,2775280,-90.51299999999999,67.355,9.66,-1195,-5623,-4426,,-1230.874,-672.992,-6623.962,-9284.442,59.51,83.74,80.68,89.86,true,true,8.49,8.72,ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；外資持股5/10日下降，且外資5日賣超；KD高檔死亡交叉，等待動能確認
5,8271,宇瞻,TWSE,半導體業,等待確認,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 204.15，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,72.5,81.1,69.6,85,100,完整,247,247,200.65,251.11,34.73,55.84,184.73,35.51,5.65,3.09,1.96,4,0,228,229,198,376,228,841.624,2783.8899999999994,3851.964999999999,2606.6629999999996,-0.5,231.102,200.102,378.102,4,1,52460154,-35.71000000000001,-21.99000000000001,10.59,966,3402,3661,,888.691,2588.4980000000005,3673.8530000000005,2070.842000000001,66.8,82.47,78.36,90.7,true,true,16.58,21.08,短線過熱或乖離過大；KD高檔死亡交叉，等待動能確認；高波動且5日漲幅過大；ETF加碼金額或跨基金共識不足
6,3706,神達,TWSE,電腦及週邊設備業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 87.84 且法人籌碼轉弱，先減碼三分之一。,81.4,78,62.5,85,91,可用,92.9,92.9,80.93,44.8,3.72,50.24,171.44,1.1,17.54,1.84,4.35,15,243,207,246,2873,8995,246,6015.645,16565.377,17351.858,20399.365,243,268,2914,9315,2,3,24629200,283.584,-1154.423,9.01,5519,13022,17978,,5747.768,16013.793000000001,15592.280999999999,12493.681999999997,58.86,74.48,61.9,99.64,false,false,3.68,10.46,ETF加碼金額或跨基金共識不足
7,7750,新代,TWSE,電機機械,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 2,096.37 且法人籌碼轉弱，先減碼三分之一。",78.5,76.3,61.1,85,100,完整,2365,2365,151.4,81.37,27.76,45.28,228.69,42.53,61.38,15.45,0.65,5,0,122,122,122,122,122,63.917,384.47700000000003,335.72100000000006,214.70300000000012,3,149,192,197,3,0,366540000,13.625,12.414000000000001,17.99,47,153,108,,49.384,221.85200000000003,131.307,13.275999999999968,60.49,79.26,69.76,98.26,false,false,11.2,27.84,短線過熱或乖離過大；高波動且5日漲幅過大；ETF加碼金額或跨基金共識不足
8,3006,晶豪科,TWSE,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 211.73 且法人籌碼轉弱，先減碼三分之一。,63,76.2,74.8,85,100,完整,258,258,328.35,242.62,44.44,36.84,267.13,27.58,7.54,3.58,0.42,4,0,0,0,-68,-380,0,4440.049,12061.428000000002,4424.146000000002,14037.146,0,2,-60,-376,1,0,478000,354.483,-63.532,37.34,4255,4311,6404,,4290.59,11704.944999999998,4547.677999999998,15267.68,62.83,80.75,59.97,122.29,false,false,21.66,57.32,20日趨勢尚未上彎；短線過熱或乖離過大；高波動且5日漲幅過大
9,5288,豐祥-KY,TWSE,電機機械,等待確認,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 179.23，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,72.8,75.2,70.2,85,100,完整,188.5,188.5,71.59,28.97,14.42,26.27,230.68,8.03,12.77,2.1,3.39,2,0,128,128,128,129,128,-76.999,-155.89999999999998,-110.80599999999998,87.02199999999999,5,147,175,244,5,0,28150500,-21.9,-11.681999999999999,59.52,-79,-286,-155,,-79,-281,-274.124,-144.9310000000001,51.67,57.3,53.34,65.23,true,false,0.14,1.62,外資持股5/10日下降，且外資5日賣超；2日內除權息，等待價格重置；ETF加碼金額或跨基金共識不足
10,2855,統一證,TWSE,金融保險業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 45.03 且法人籌碼轉弱，先減碼三分之一。,65.5,74.7,71.6,85,90.7,可用,45.1,45.1,199.02,334.18,,84.35,116.12,1.43,10.26,1.76,4.6,11,-47,159,1086,3369,7131,-1131,1092.84,3544.662,680.2339999999997,-4919.51,-47,1122,3435,7176.531,4,1,51443700,0,0,7.54,970,-1588,-3417,,1139.84,2422.662,-2754.7660000000005,-12096.041000000001,48.47,73.85,60.37,100.82,false,false,0.09,12.47,主動ETF 5日轉為減碼；ETF加碼，但外資持股5/10日同步下降；20日趨勢尚未上彎；ETF加碼金額或跨基金共識不足
11,2615,萬海,TWSE,航運業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 81.56 且法人籌碼轉弱，先減碼三分之一。,68.7,74.1,76.6,85,90.2,可用,84.3,84.3,32.7,6.39,17.32,31.69,396.45,2.73,7.89,0.84,3.51,11,-11,-40,3,290,-227,-15,211.162,6483.089,20675.229,57179.901000000005,-10.264,39.346,356.267,-179.866,2,3,3360148,-29.692999999999984,-322.938,44.75,63,19699,43396,,226.441,6473.436,20641.9,57565.56100000001,53.63,56.57,60.25,49.22,true,true,0.72,-0.12,ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；ETF加碼金額或跨基金共識不足
12,2347,聯強,TWSE,電子通路業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 87.89 且法人籌碼轉弱，先減碼三分之一。,75,73.5,54.1,85,91,可用,94.7,94.7,135.45,77.39,2.67,67.19,132.14,1.77,16.89,2.06,4.33,23,-37,24,548,-405,-9623,82,673.935,6113.083,8119.156,22362.93,-1.504,62.99499999999999,-1176.005,-13295.129,3,2,6116814,-2836.43,-2297.7329999999997,29.85,1273,8624,28169,,1437.062,8886.517999999998,11592.893999999998,41312.69899999999,59.21,77.79,72.54,88.29,false,false,4.99,9.99,
13,2476,鉅祥,TWSE,電子零組件業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 119.17 且法人籌碼轉弱，先減碼三分之一。,72.5,73.3,72.5,85,91,可用,127.5,127.5,53.76,36.92,17.83,22.15,420.68,1.14,28.49,2.92,2.39,2,0,194,194,194,194,194,931.373,1003.415,1028.747,883.145,0,194,194,194,2,0,24153000,404.04499999999996,453.61599999999993,9.89,762,795,-74,,814.299,405.37,381.1309999999999,-517.0100000000002,57.15,80.6,64.24,113.33,false,false,6.24,20.85,20日趨勢尚未上彎；短線過熱或乖離過大；ETF加碼金額或跨基金共識不足
14,2330,台積電,TWSE,半導體業,等待確認,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,"已有部位暫停加碼；若收盤跌破60日EMA約 2,320.32，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。",71,73.3,65.9,85,90.9,可用,2365,2365,67.87,35.61,58.1,31.5,248.83,22.08,32.33,10.59,0.91,68,316,2413,19732,32381,56194,3909,9947.715,6896.200999999997,-22005.829,-85474.17,-1204.507,7619.919,9730.047,17879.144000000004,4,1,18325905195,-651.136,11119.723,69.15,12903,-43259,-92416,,12251.238,-72.58200000000033,-42855.599,-126281.569,50.23,69.54,57.59,93.45,false,false,0.23,7.26,外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎
15,6214,精誠,TWSE,資訊服務業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 137.42 且法人籌碼轉弱，先減碼三分之一。,69.9,73.2,65.3,85,91,可用,145.5,145.5,76.9,37,4.94,47.39,168.59,2.64,16.04,2.19,3.92,7,-1,-5,0,2,-13,0,163.669,1811.325,3078.781,7435.7919999999995,-1.593,0.20699999999999985,1.4489999999999998,211.939,1,2,31671,-16.332000000000008,36.437,15.1,177,3144,4066,,135.057,1827.4499999999998,3040.8950000000004,7155.609,53.3,65.3,71.9,52.09,true,true,0.93,1.39,ETF 1/3日已轉為減碼；官方重大訊息出現高風險關鍵字，須查原文
