排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,持有判斷模式,今天動作,下一次確認,既有部位說明,主要原因,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,2855,統一證,TWSE,金融保險業,可開始承接,正常持有,strong,強勢續抱；不追高,今日收盤確認是否守住20日EMA,價格仍在20／60日EMA之上且短線強勢；法人未同步轉弱。若收盤跌破20日EMA約 51.84 且法人續弱，再轉為保護持有。,價格強勢站上20／60日EMA；法人未同步轉弱,74.8,78.4,72,85,100,可用,56.9,,109.88,217.4,,87.34,112.56,6.96,5.91,1.9,3.71,12,-37,384,2389,9703,15979,207,2573.748,12990.983,16176.667000000001,24461.044,-37,2394.816,9702.044999999998,16192.744999999999,4,1,136265030,0,0,7.61,2490,12161,8381,,2610.748,10596.167,6474.621999999999,8269.298999999999,75.63,76.61,76.34,77.14,true,false,9.76,10.49,
2,6770,力積電,TWSE,半導體業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 70.85 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,80.7,77.7,68.1,85,100,可用,71.8,,76.19,47.08,58.03,34.6,495.94,4.08,23.93,2.63,,13,-27,3863,4284,4249,4074,0,9321.878,156010.54200000002,87715.467,189288.403,-26.527,4273.5740000000005,4290.5740000000005,11541.574,3,2,306842613,14052.231,10169.346000000001,16.31,3005,143983,46504,,8722.658,137684.737,73255.54699999999,164713.745,52.64,63.4,56.74,76.71,true,false,1.35,7.32,
3,2851,中再保,TWSE,金融保險業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 45.73 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,73.2,70.1,67.5,85,100,完整,47.4,,-31.48,75.57,,59.8,,7.91,4.49,1.44,4.64,4,0,0,208,1471,2302,208,-896.603,2779.885,6297.937000000001,10422.369,0,208,1471,2302,1,0,9859200,-471.56399999999996,-498.071,10.86,-672,3175,5577,,-756.282,3043.449,5325.007999999999,8801.657,62.32,74.79,70.49,83.4,false,false,3.66,1.94,ETF加碼金額或跨基金共識尚未同時成立
4,3005,神基,TWSE,電腦及週邊設備業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 116.28 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,72.1,69.9,64.1,85,100,完整,118.5,,18.39,9.96,15.34,44.17,195.75,4.27,14.07,2.9,5.73,14,335,707,1039,1272,963,0,-332.217,3446.05,5529.488,5672.879000000001,334.946,1184.901,1381.0900000000001,1328.2490000000003,5,0,140410769,186.188,69.98499999999997,15.32,-685,945,3177,,-691.597,2074.9610000000002,4078.413,4483.711,58.56,78.07,69.64,94.94,false,false,1.91,3.04,
5,3014,聯陽,TWSE,半導體業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 133.15 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,72.5,69.9,67.3,85,100,可用,139,,5.33,0.16,28.48,33.51,218.05,5.88,14.04,3.14,6.12,11,138,220,251,304,356,0,1410.402,3319.0009999999993,4114.990999999999,3076.691999999999,137.416,250.49900000000002,304.101,357.262,5,0,34819361,25.092,21.106,20.95,1269,2829,3531,,1292.908,3043.4100000000003,3789.7840000000006,2728.5110000000004,66.12,75.67,70.58,85.85,false,false,4.4,6.51,ETF加碼金額或跨基金共識尚未同時成立
6,8299,群聯,TPEX,半導體業,等待確認,正常持有,strong,強勢續抱；不追高,今日收盤確認是否守住20日EMA,"價格仍在20／60日EMA之上且短線強勢；法人未同步轉弱。若收盤跌破20日EMA約 2,059.69 且法人續弱，再轉為保護持有。",價格強勢站上20／60日EMA；法人未同步轉弱,77.3,84.1,72.8,85,100,可用,2185,,376.52,278.99,37.86,47.31,257.91,187.43,10.01,4.73,1.06,20,-11,86,363,-415,-562,-4,1699.926,1699.926,1699.926,2238.926,187.694,187.694,187.694,-23.30600000000001,1,0,410111390,-76.868,-76.868,44.53,,,,,1589.1,1589.1,1589.1,2465.1,59.79,68.51,52.14,101.26,true,false,6.08,13.8,主動ETF 5日轉為減碼；外資持股尚未完成5／10日可比核對或期間有非市場異動；此項不給分，不解讀為轉弱
7,4967,十銓,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 265.70 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,68.1,80.1,72.6,85,100,完整,272,,275.06,87.02,35.94,50.67,191.64,53.44,4.04,2.07,3.17,3,0,0,0,0,235,0,-356.123,1055.077,-610.2769999999999,2899.156,0,-0.4,-0.4,234.6,0,1,-108800,20.471000000000004,-157.154,12.02,-359,1332,-198,,-333.601,1035.0059999999999,-452.7230000000002,2994.241,50.33,38.78,37.95,40.45,true,false,-0.48,2.26,當下除權息調整價未守20日EMA
8,2408,南亞科,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 465.35 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,77.3,79.8,82.1,85,100,可用,497,,560.85,638.19,69.08,16.78,691.01,23.38,19.29,5.32,0.27,38,103,3790,4792,4689,2462,2087,-23703.192,18446.287,-24130.163999999997,-14887.199999999997,-103.066,5213.362,-527.9609999999999,-4426.075,3,2,2591040914,750.7599999999999,-879.931,16.06,-20122,15067,-25518,,-22444.77,12482.165,-22722.272,-6465.497000000003,50,51.5,44.42,65.66,true,false,-0.8,6.77,20日趨勢尚未上彎；當下除權息調整價未守20日EMA；借券賣出與借券賣出餘額壓力升高
9,3006,晶豪科,TWSE,半導體業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 256.82，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,70.1,79.8,75.2,85,100,可用,278.5,,605.24,324.38,44.44,36.84,267.13,27.58,8.78,4.17,0.36,8,20,502,532,513,688,0,-3262.574,-2214.700999999999,-9833.952999999998,-12913.512999999999,20,535,555,729,4,0,148997500,408.66800000000006,25.765000000000043,39.37,-3007,-1865,-8555,,-3105.366,-3158.3690000000006,-10414.718000000003,-14286.173000000003,51.27,34.67,37.95,28.11,false,false,-0.37,5.49,外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA；ETF加碼金額或跨基金共識尚未同時成立；借券賣出與借券賣出餘額壓力升高
10,2605,新興,TWSE,航運業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 34.41 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,67.8,79.3,82.2,85,100,完整,37.1,,58.75,38.72,33.49,26.88,212.23,3.67,7.57,1.12,2.7,1,0,0,0,0,0,0,96.001,12276.953000000001,11058.082000000002,13203.076000000003,0,-44,-172,-178,0,1,-1632400,3913.74,3511.2389999999996,49.97,11,8430,7742,,-3,8407.213,7718.842999999999,9588.741999999998,58.64,51.4,45.69,62.82,true,true,3.17,5.85,20日趨勢尚未上彎；單季稅前獲利對營業外貢獻依賴偏高
